source_feed_id,source_feed_folder,service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,original_service_id
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,1,1,1,1,1,0,0,20260401,20270630,i-weekday
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,0,0,0,0,0,1,1,20260401,20270630,i-weekend
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i-summer,0,0,0,0,0,1,1,20260701,20261130,i-summer
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,1,1,1,1,1,0,0,20260401,20260930,f-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,1,1,1,1,1,0,0,20260401,20270630,t-weekday
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-sat,0,0,0,0,0,1,0,20260401,20270630,t-sat
feed_shizuokacity_yui_kanbara_20260401_20260630200146,feed_shizuokacity_yui-kanbara_20260401_20260630200146,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b-weekday,1,1,1,1,1,0,0,20260401,20270630,b-weekday
feed_shizuokacity_yui_kanbara_20260401_20260630200146,feed_shizuokacity_yui-kanbara_20260401_20260630200146,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b-weekend,0,0,0,0,0,1,1,20260401,20270630,b-weekend
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y-monwedfri,1,0,1,0,1,0,0,20260401,20270630,y-monwedfri
feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723,feed_shizuokacity_yui_20260401_20260630174723_y-tuethu,0,1,0,1,0,0,0,20260401,20270630,y-tuethu
