grid_id,stop_id,stop_name,walking_distance_m,walking_time_min,trips_per_hour,headway_min,avg_wait_min
2676,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b1_0,,750.85,9.01,0.333,180.0,90.0
2676,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b32_0,,750.85,9.01,0.333,180.0,90.0
2748,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1_0,,799.37,9.59,2.333,25.71,12.86
2757,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b1_0,,537.41,6.45,0.333,180.0,90.0
2757,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b31_0,,728.89,8.75,0.333,180.0,90.0
2757,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b32_0,,537.41,6.45,0.333,180.0,90.0
2825,feed_shizuokacity_ryougouchi_20260401_20260630200904_t4_0,,660.94,7.93,2.333,25.71,12.86
2828,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1_0,,153.66,1.84,2.333,25.71,12.86
2828,feed_shizuokacity_ryougouchi_20260401_20260630200904_t2_0,,585.92,7.03,2.333,25.71,12.86
2828,feed_shizuokacity_ryougouchi_20260401_20260630200904_t3_0,,862.06,10.34,2.333,25.71,12.86
2829,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1_0,,309.34,3.71,2.333,25.71,12.86
2829,feed_shizuokacity_ryougouchi_20260401_20260630200904_t2_0,,741.6,8.9,2.333,25.71,12.86
2830,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1_0,,772.92,9.28,2.333,25.71,12.86
2838,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b1_0,,704.4,8.45,0.333,180.0,90.0
2838,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,915.77,10.99,0.333,180.0,90.0
2838,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b30_0,,695.52,8.35,0.333,180.0,90.0
2838,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b31_0,,414.9,4.98,0.333,180.0,90.0
2838,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b32_0,,704.4,8.45,0.333,180.0,90.0
