stop_id,stop_name,analysis_day,analysis_date,start_time,end_time,window_hours,trip_count,trips_per_hour,headway_min,avg_wait_min
feed_shizuokacity_ikawa_20260401_20260630213838_i10_0,中野,sunday,,00:00,24:00,24.0,11,0.458,130.91,65.45
feed_shizuokacity_ikawa_20260401_20260630213838_i5_0,西山平,sunday,,00:00,24:00,24.0,11,0.458,130.91,65.45
feed_shizuokacity_ikawa_20260401_20260630213838_i6_0,公民館前,sunday,,00:00,24:00,24.0,11,0.458,130.91,65.45
feed_shizuokacity_ikawa_20260401_20260630213838_i7_0,井川小中学校入口,sunday,,00:00,24:00,24.0,11,0.458,130.91,65.45
feed_shizuokacity_ikawa_20260401_20260630213838_i9_0,井川本村,sunday,,00:00,24:00,24.0,11,0.458,130.91,65.45
feed_shizuokacity_ikawa_20260401_20260630213838_i11_0,南アルプスユネスコエコパーク井川ビジターセンター,sunday,,00:00,24:00,24.0,10,0.417,144.0,72.0
feed_shizuokacity_ikawa_20260401_20260630213838_i13_0,渡船場,sunday,,00:00,24:00,24.0,10,0.417,144.0,72.0
feed_shizuokacity_ikawa_20260401_20260630213838_i14_0,井川大橋,sunday,,00:00,24:00,24.0,10,0.417,144.0,72.0
feed_shizuokacity_ikawa_20260401_20260630213838_i15_0,中山,sunday,,00:00,24:00,24.0,10,0.417,144.0,72.0
feed_shizuokacity_ikawa_20260401_20260630213838_i4_0,井川駅前,sunday,,00:00,24:00,24.0,10,0.417,144.0,72.0
feed_shizuokacity_ikawa_20260401_20260630213838_i12_0,診療所,sunday,,00:00,24:00,24.0,9,0.375,160.0,80.0
feed_shizuokacity_ikawa_20260401_20260630213838_i16_0,大島,sunday,,00:00,24:00,24.0,8,0.333,180.0,90.0
feed_shizuokacity_ikawa_20260401_20260630213838_i17_0,北小跡入口,sunday,,00:00,24:00,24.0,8,0.333,180.0,90.0
feed_shizuokacity_ikawa_20260401_20260630213838_i18_0,田代,sunday,,00:00,24:00,24.0,8,0.333,180.0,90.0
feed_shizuokacity_ikawa_20260401_20260630213838_i19_0,小河内,sunday,,00:00,24:00,24.0,8,0.333,180.0,90.0
feed_shizuokacity_ikawa_20260401_20260630213838_i1_0,横沢,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_ikawa_20260401_20260630213838_i20_0,白樺荘,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_ikawa_20260401_20260630213838_i2_0,富士見峠,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_ikawa_20260401_20260630213838_i3_0,大日,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b12_0,蒲原駅,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b1_0,由比駅,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b21_0,蒲原病院,sunday,,00:00,24:00,24.0,4,0.167,360.0,180.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_1,西神沢,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,西神沢,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_1,神沢,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_2,神沢,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_1,中村,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b13_2,中村,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_1,小金,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b14_2,小金,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_1,蒲原体育館前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b15_2,蒲原体育館前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_1,砂防事務所入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b16_2,砂防事務所入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_1,蒲原本町,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b17_2,蒲原本町,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_1,新蒲原駅,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b18_2,新蒲原駅,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b19_1,軽金入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b19_2,軽金入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b20_1,富士見橋,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b20_2,富士見橋,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,新町,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,入山入口東,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,入山入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,由比川橋,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,由比北田,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,町屋原,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,西山入口,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,今宿東,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b2_0,今宿,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b30_0,今宿上,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b31_0,平,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b32_0,由比駅上,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b3_0,中央ガレージ前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b4_0,由比むつみ市場前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b5_0,JAしみず由比支店前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b6_0,由比川橋西,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b7_0,由比本陣公園前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b8_0,由比自治会前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
feed_shizuokacity_yui_kanbara_20260401_20260630200146_b9_0,神沢川酒造場前,sunday,,00:00,24:00,24.0,2,0.083,720.0,360.0
