service_id,date,exception_type
i-weekday,20260429,2
i-weekday,20260503,2
i-weekday,20260504,2
i-weekday,20260505,2
i-weekday,20260506,2
i-weekday,20260720,2
i-weekday,20260811,2
i-weekday,20260921,2
i-weekday,20260922,2
i-weekday,20260923,2
i-weekday,20261012,2
i-weekday,20261103,2
i-weekday,20261123,2
i-weekday,20261229,2
i-weekday,20261230,2
i-weekday,20261231,2
i-weekday,20270101,2
i-weekday,20270102,2
i-weekday,20270103,2
i-weekday,20270111,2
i-weekday,20270211,2
i-weekday,20270223,2
i-weekday,20270321,2
i-weekday,20270322,2
i-weekday,20270429,2
i-weekday,20270503,2
i-weekday,20270504,2
i-weekday,20270505,2
i-weekend,20260429,1
i-weekend,20260503,1
i-weekend,20260504,1
i-weekend,20260505,1
i-weekend,20260506,1
i-weekend,20260720,1
i-weekend,20260811,1
i-weekend,20260921,1
i-weekend,20260922,1
i-weekend,20260923,1
i-weekend,20261012,1
i-weekend,20261103,1
i-weekend,20261123,1
i-weekend,20261229,1
i-weekend,20261230,1
i-weekend,20261231,1
i-weekend,20270101,1
i-weekend,20270102,1
i-weekend,20270103,1
i-weekend,20270111,1
i-weekend,20270211,1
i-weekend,20270223,1
i-weekend,20270321,1
i-weekend,20270322,1
i-weekend,20270429,1
i-weekend,20270503,1
i-weekend,20270504,1
i-weekend,20270505,1
i-summer,20260720,1
i-summer,20260811,1
i-summer,20260921,2
i-summer,20260922,2
i-summer,20260923,2
i-summer,20261012,1
i-summer,20261103,1
i-summer,20261123,1
i-summer,20260905,2
i-summer,20260906,2
i-summer,20260912,2
i-summer,20260913,2
i-summer,20260919,2
i-summer,20260920,2
i-summer,20260926,2
i-summer,20260927,2
