fare_id,route_id,origin_id,destination_id
Fare200yen_00,i1,i5_0,i6_0
Fare200yen_00,i1,i5_0,i7_0
Fare200yen_00,i1,i5_0,i9_0
Fare200yen_00,i1,i5_0,i10_0
Fare200yen_00,i1,i5_0,i11_0
Fare200yen_00,i1,i5_0,i12_0
Fare200yen_00,i1,i5_0,i13_0
Fare200yen_00,i1,i6_0,i7_0
Fare200yen_00,i1,i6_0,i9_0
Fare200yen_00,i1,i6_0,i10_0
Fare200yen_00,i1,i6_0,i11_0
Fare200yen_00,i1,i6_0,i12_0
Fare200yen_00,i1,i6_0,i13_0
Fare200yen_00,i1,i7_0,i9_0
Fare200yen_00,i1,i7_0,i10_0
Fare200yen_00,i1,i7_0,i11_0
Fare200yen_00,i1,i7_0,i12_0
Fare200yen_00,i1,i7_0,i13_0
Fare200yen_00,i1,i9_0,i10_0
Fare200yen_00,i1,i9_0,i11_0
Fare200yen_00,i1,i9_0,i12_0
Fare200yen_00,i1,i9_0,i13_0
Fare200yen_00,i1,i10_0,i11_0
Fare200yen_00,i1,i10_0,i12_0
Fare200yen_00,i1,i10_0,i13_0
Fare200yen_00,i1,i11_0,i12_0
Fare200yen_00,i1,i11_0,i13_0
Fare200yen_00,i1,i12_0,i13_0
Fare400yen_00,i1,i1_0,i2_0
Fare600yen_00,i1,i1_0,i3_0
Fare800yen_00,i1,i1_0,i4_0
Fare800yen_00,i1,i1_0,i5_0
Fare800yen_00,i1,i1_0,i6_0
Fare800yen_00,i1,i1_0,i7_0
Fare800yen_00,i1,i1_0,i9_0
Fare800yen_00,i1,i1_0,i10_0
Fare800yen_00,i1,i1_0,i11_0
Fare800yen_00,i1,i1_0,i12_0
Fare1000yen_00,i1,i1_0,i14_0
Fare1000yen_00,i1,i1_0,i15_0
Fare1000yen_00,i1,i1_0,i16_0
Fare1000yen_00,i1,i1_0,i17_0
Fare1000yen_00,i1,i1_0,i18_0
Fare1000yen_00,i1,i1_0,i19_0
Fare400yen_00,i1,i2_0,i3_0
Fare600yen_00,i1,i2_0,i4_0
Fare600yen_00,i1,i2_0,i5_0
Fare600yen_00,i1,i2_0,i6_0
Fare600yen_00,i1,i2_0,i7_0
Fare600yen_00,i1,i2_0,i9_0
Fare600yen_00,i1,i2_0,i10_0
Fare600yen_00,i1,i2_0,i11_0
Fare600yen_00,i1,i2_0,i12_0
Fare800yen_00,i1,i2_0,i14_0
Fare800yen_00,i1,i2_0,i15_0
Fare800yen_00,i1,i2_0,i16_0
Fare800yen_00,i1,i2_0,i17_0
Fare800yen_00,i1,i2_0,i18_0
Fare800yen_00,i1,i2_0,i19_0
Fare400yen_00,i1,i3_0,i4_0
Fare400yen_00,i1,i3_0,i5_0
Fare400yen_00,i1,i3_0,i6_0
Fare400yen_00,i1,i3_0,i7_0
Fare400yen_00,i1,i3_0,i9_0
Fare400yen_00,i1,i3_0,i10_0
Fare400yen_00,i1,i3_0,i11_0
Fare400yen_00,i1,i3_0,i12_0
Fare600yen_00,i1,i3_0,i14_0
Fare600yen_00,i1,i3_0,i15_0
Fare600yen_00,i1,i3_0,i16_0
Fare600yen_00,i1,i3_0,i17_0
Fare600yen_00,i1,i3_0,i18_0
Fare600yen_00,i1,i3_0,i19_0
Fare200yen_00,i1,i4_0,i5_0
Fare200yen_00,i1,i4_0,i6_0
Fare200yen_00,i1,i4_0,i7_0
Fare200yen_00,i1,i4_0,i9_0
Fare200yen_00,i1,i4_0,i10_0
Fare200yen_00,i1,i4_0,i11_0
Fare200yen_00,i1,i4_0,i12_0
Fare400yen_00,i1,i4_0,i14_0
Fare400yen_00,i1,i4_0,i15_0
Fare400yen_00,i1,i4_0,i16_0
Fare400yen_00,i1,i4_0,i17_0
Fare400yen_00,i1,i4_0,i18_0
Fare400yen_00,i1,i4_0,i19_0
Fare400yen_00,i1,i5_0,i14_0
Fare400yen_00,i1,i5_0,i15_0
Fare400yen_00,i1,i5_0,i16_0
Fare400yen_00,i1,i5_0,i17_0
Fare400yen_00,i1,i5_0,i18_0
Fare400yen_00,i1,i5_0,i19_0
Fare400yen_00,i1,i6_0,i14_0
Fare400yen_00,i1,i6_0,i15_0
Fare400yen_00,i1,i6_0,i16_0
Fare400yen_00,i1,i6_0,i17_0
Fare400yen_00,i1,i6_0,i18_0
Fare400yen_00,i1,i6_0,i19_0
Fare400yen_00,i1,i7_0,i14_0
Fare400yen_00,i1,i7_0,i15_0
Fare400yen_00,i1,i7_0,i16_0
Fare400yen_00,i1,i7_0,i17_0
Fare400yen_00,i1,i7_0,i18_0
Fare400yen_00,i1,i7_0,i19_0
Fare400yen_00,i1,i9_0,i14_0
Fare400yen_00,i1,i9_0,i15_0
Fare400yen_00,i1,i9_0,i16_0
Fare400yen_00,i1,i9_0,i17_0
Fare400yen_00,i1,i9_0,i18_0
Fare400yen_00,i1,i9_0,i19_0
Fare400yen_00,i1,i10_0,i14_0
