trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
i1+1+i-weekday+1,8:10:00,8:10:00,i5_0,5,,0,1,1
i1+1+i-weekday+1,8:11:00,8:11:00,i6_0,6,,0,0,1
i1+1+i-weekday+1,8:14:00,8:14:00,i7_0,9,,0,0,1
i1+1+i-weekday+1,8:16:00,8:16:00,i9_0,10,,0,0,1
i1+1+i-weekday+1,8:17:00,8:17:00,i10_0,11,,0,0,1
i1+1+i-weekday+1,8:18:00,8:18:00,i11_0,12,,0,0,1
i1+1+i-weekday+1,8:19:00,8:19:00,i12_0,13,,0,0,1
i1+1+i-weekday+1,8:21:00,8:21:00,i13_0,14,,1,0,1
i1+1+i-weekday+2,10:10:00,10:10:00,i1_0,1,,0,1,1
i1+1+i-weekday+2,10:45:00,10:45:00,i2_0,2,,0,0,1
i1+1+i-weekday+2,10:50:00,10:50:00,i3_0,3,,0,0,1
i1+1+i-weekday+2,11:12:00,11:12:00,i4_0,4,,0,0,1
i1+1+i-weekday+2,11:15:00,11:15:00,i5_0,5,,0,0,1
i1+1+i-weekday+2,11:16:00,11:16:00,i6_0,6,,0,0,1
i1+1+i-weekday+2,11:19:00,11:19:00,i7_0,9,,0,0,1
i1+1+i-weekday+2,11:21:00,11:21:00,i9_0,10,,0,0,1
i1+1+i-weekday+2,11:22:00,11:22:00,i10_0,11,,0,0,1
i1+1+i-weekday+2,11:23:00,11:23:00,i11_0,12,,0,0,1
i1+1+i-weekday+2,11:24:00,11:24:00,i12_0,15,,0,0,1
i1+1+i-weekday+2,11:31:00,11:31:00,i14_0,16,,0,0,1
i1+1+i-weekday+2,11:33:00,11:33:00,i15_0,17,,0,0,1
i1+1+i-weekday+2,11:35:00,11:35:00,i16_0,18,,0,0,1
i1+1+i-weekday+2,11:37:00,11:37:00,i17_0,19,,0,0,1
i1+1+i-weekday+2,11:39:00,11:39:00,i18_0,20,,0,0,1
i1+1+i-weekday+2,11:42:00,11:42:00,i19_0,21,,1,0,1
i1+1+i-weekday+3,12:20:00,12:20:00,i4_0,4,,0,1,1
i1+1+i-weekday+3,12:23:00,12:23:00,i5_0,5,,0,0,1
i1+1+i-weekday+3,12:24:00,12:24:00,i6_0,6,,0,0,1
i1+1+i-weekday+3,12:27:00,12:27:00,i7_0,9,,0,0,1
i1+1+i-weekday+3,12:29:00,12:29:00,i9_0,10,,0,0,1
i1+1+i-weekday+3,12:30:00,12:30:00,i10_0,11,,0,0,1
i1+1+i-weekday+3,12:31:00,12:31:00,i11_0,12,,0,0,1
i1+1+i-weekday+3,12:34:00,12:34:00,i13_0,14,,0,0,1
i1+1+i-weekday+3,12:37:00,12:37:00,i12_0,15,,0,0,1
i1+1+i-weekday+3,12:44:00,12:44:00,i14_0,16,,0,0,1
i1+1+i-weekday+3,12:46:00,12:46:00,i15_0,17,,0,0,1
i1+1+i-weekday+3,12:48:00,12:48:00,i16_0,18,,0,0,1
