fare_id,route_id,origin_id,destination_id
Fare150yen_00,f1,f1_0,f2_0
Fare150yen_00,f1,f1_0,f4_1
Fare210yen_00,f1,f1_0,f5_1
Fare210yen_00,f1,f1_0,f6_0
Fare210yen_00,f1,f1_0,f7_1
Fare250yen_00,f1,f1_0,f8_1
Fare250yen_00,f1,f1_0,f9_1
Fare310yen_00,f1,f1_0,f10_0
Fare150yen_00,f1,f2_0,f4_1
Fare210yen_00,f1,f2_0,f5_1
Fare210yen_00,f1,f2_0,f6_0
Fare210yen_00,f1,f2_0,f7_1
Fare250yen_00,f1,f2_0,f8_1
Fare250yen_00,f1,f2_0,f9_1
Fare310yen_00,f1,f2_0,f10_0
Fare200yen_00,f1,f4_1,f5_1
Fare200yen_00,f1,f4_1,f6_0
Fare200yen_00,f1,f4_1,f7_1
Fare250yen_00,f1,f4_1,f8_1
Fare250yen_00,f1,f4_1,f9_1
Fare280yen_00,f1,f4_1,f10_0
Fare200yen_00,f1,f5_1,f6_0
Fare200yen_00,f1,f5_1,f7_1
Fare250yen_00,f1,f5_1,f8_1
Fare250yen_00,f1,f5_1,f9_1
Fare280yen_00,f1,f5_1,f10_0
Fare200yen_00,f1,f6_0,f7_1
Fare250yen_00,f1,f6_0,f8_1
Fare250yen_00,f1,f6_0,f9_1
Fare280yen_00,f1,f6_0,f10_0
Fare200yen_00,f1,f7_1,f8_1
Fare200yen_00,f1,f7_1,f9_1
Fare210yen_00,f1,f7_1,f10_0
Fare200yen_00,f1,f8_1,f9_1
Fare210yen_00,f1,f8_1,f10_0
Fare210yen_00,f1,f9_1,f10_0
Fare210yen_00,f2,f10_0,f9_2
Fare210yen_00,f2,f10_0,f8_2
Fare210yen_00,f2,f10_0,f7_2
Fare280yen_00,f2,f10_0,f6_0
Fare280yen_00,f2,f10_0,f5_2
Fare280yen_00,f2,f10_0,f4_2
Fare310yen_00,f2,f10_0,f3_0
Fare310yen_00,f2,f10_0,f1_0
Fare200yen_00,f2,f9_2,f8_2
Fare200yen_00,f2,f9_2,f7_2
Fare250yen_00,f2,f9_2,f6_0
Fare250yen_00,f2,f9_2,f5_2
Fare250yen_00,f2,f9_2,f4_2
Fare250yen_00,f2,f9_2,f3_0
Fare250yen_00,f2,f9_2,f1_0
Fare200yen_00,f2,f8_2,f7_2
Fare250yen_00,f2,f8_2,f6_0
Fare250yen_00,f2,f8_2,f5_2
Fare250yen_00,f2,f8_2,f4_2
Fare250yen_00,f2,f8_2,f3_0
Fare250yen_00,f2,f8_2,f1_0
Fare200yen_00,f2,f7_2,f6_0
Fare200yen_00,f2,f7_2,f5_2
Fare200yen_00,f2,f7_2,f4_2
Fare210yen_00,f2,f7_2,f3_0
Fare210yen_00,f2,f7_2,f1_0
Fare200yen_00,f2,f6_0,f5_2
Fare200yen_00,f2,f6_0,f4_2
Fare210yen_00,f2,f6_0,f3_0
Fare210yen_00,f2,f6_0,f1_0
Fare200yen_00,f2,f5_2,f4_2
Fare210yen_00,f2,f5_2,f3_0
Fare210yen_00,f2,f5_2,f1_0
Fare150yen_00,f2,f4_2,f3_0
Fare150yen_00,f2,f4_2,f1_0
Fare150yen_00,f2,f3_0,f1_0
