trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
f1+1+f-weekday+1,9:00:00,9:00:00,f1_0,1,,0,1,1
f1+1+f-weekday+1,9:04:00,9:04:00,f2_0,2,,0,0,1
f1+1+f-weekday+1,9:06:00,9:06:00,f4_1,3,,0,0,1
f1+1+f-weekday+1,9:12:00,9:12:00,f5_1,4,,0,0,1
f1+1+f-weekday+1,9:15:00,9:15:00,f6_0,5,,0,0,1
f1+1+f-weekday+1,9:17:00,9:17:00,f7_1,6,,0,0,1
f1+1+f-weekday+1,9:19:00,9:19:00,f8_1,7,,0,0,1
f1+1+f-weekday+1,9:20:00,9:20:00,f9_1,8,,0,0,1
f1+1+f-weekday+1,9:24:00,9:24:00,f10_0,9,,1,0,1
f1+1+f-weekday+2,10:00:00,10:00:00,f1_0,1,,0,1,1
f1+1+f-weekday+2,10:04:00,10:04:00,f2_0,2,,0,0,1
f1+1+f-weekday+2,10:06:00,10:06:00,f4_1,3,,0,0,1
f1+1+f-weekday+2,10:12:00,10:12:00,f5_1,4,,0,0,1
f1+1+f-weekday+2,10:15:00,10:15:00,f6_0,5,,0,0,1
f1+1+f-weekday+2,10:17:00,10:17:00,f7_1,6,,0,0,1
f1+1+f-weekday+2,10:19:00,10:19:00,f8_1,7,,0,0,1
f1+1+f-weekday+2,10:20:00,10:20:00,f9_1,8,,0,0,1
f1+1+f-weekday+2,10:24:00,10:24:00,f10_0,9,,1,0,1
f1+1+f-weekday+3,11:00:00,11:00:00,f1_0,1,,0,1,1
f1+1+f-weekday+3,11:04:00,11:04:00,f2_0,2,,0,0,1
f1+1+f-weekday+3,11:06:00,11:06:00,f4_1,3,,0,0,1
f1+1+f-weekday+3,11:12:00,11:12:00,f5_1,4,,0,0,1
f1+1+f-weekday+3,11:15:00,11:15:00,f6_0,5,,0,0,1
f1+1+f-weekday+3,11:17:00,11:17:00,f7_1,6,,0,0,1
f1+1+f-weekday+3,11:19:00,11:19:00,f8_1,7,,0,0,1
f1+1+f-weekday+3,11:20:00,11:20:00,f9_1,8,,0,0,1
f1+1+f-weekday+3,11:24:00,11:24:00,f10_0,9,,1,0,1
