stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
f1_0,静岡駅前,,34.972619,138.388692,f1_0,0
f2_0,新静岡御幸町,,34.974501,138.385824,f2_0,0
f3_0,新静岡伝馬町,,34.974819,138.386207,f3_0,0
f4_1,中町,,34.97662,138.380829,f4_1,0
f4_2,中町,,34.977255,138.379971,f4_2,0
f5_1,アイセル21,,34.983575,138.385322,f5_1,0
f5_2,アイセル21,,34.983507,138.385394,f5_2,0
f6_0,城東保健福祉エリア,,34.985657,138.388057,f6_0,0
f7_1,西千代田,,34.988821,138.389517,f7_1,0
f7_2,西千代田,,34.98863,138.389819,f7_2,0
f8_1,柳新田西,,34.996713,138.390343,f8_1,0
f8_2,柳新田西,,34.996713,138.390343,f8_2,0
f9_1,柳新田北,,34.999315,138.387802,f9_1,0
f9_2,柳新田北,,34.999382,138.38784,f9_2,0
f10_0,県立総合病院,,35.003321,138.387121,f10_0,0
