service_id,date,exception_type
t-weekday,20260720,2
t-weekday,20260811,2
t-weekday,20260921,2
t-weekday,20260922,2
t-weekday,20260923,2
t-weekday,20261012,2
t-weekday,20261103,2
t-weekday,20261123,2
t-weekday,20261229,2
t-weekday,20261230,2
t-weekday,20261231,2
t-weekday,20270101,2
t-weekday,20270102,2
t-weekday,20270103,2
t-weekday,20270111,2
t-weekday,20270211,2
t-weekday,20270223,2
t-weekday,20270321,2
t-weekday,20270322,2
t-weekday,20270429,2
t-weekday,20270503,2
t-weekday,20270504,2
t-weekday,20270505,2
t-sat,20260720,2
t-sat,20260811,2
t-sat,20260921,2
t-sat,20260922,2
t-sat,20260923,2
t-sat,20261012,2
t-sat,20261103,2
t-sat,20261123,2
t-sat,20261229,2
t-sat,20261230,2
t-sat,20261231,2
t-sat,20270101,2
t-sat,20270102,2
t-sat,20270103,2
t-sat,20270111,2
t-sat,20270211,2
t-sat,20270223,2
t-sat,20270321,2
t-sat,20270322,2
t-sat,20270429,2
t-sat,20270503,2
t-sat,20270504,2
t-sat,20270505,2
