trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
t1+1+t-weekday+1,6:30:00,6:30:00,t1_0,1,,0,1,1
t1+1+t-weekday+1,6:31:00,6:31:00,t2_0,2,,0,0,1
t1+1+t-weekday+1,6:32:00,6:32:00,t3_0,3,,0,0,1
t1+1+t-weekday+1,6:34:00,6:34:00,t4_0,4,,0,0,1
t1+1+t-weekday+1,6:36:00,6:36:00,t5_0,5,,0,0,1
t1+1+t-weekday+1,6:39:00,6:39:00,t6_0,6,,0,0,1
t1+1+t-weekday+1,6:40:00,6:40:00,t7_0,7,,1,0,1
t1+1+t-weekday+2,7:35:00,7:35:00,t1_0,1,,0,1,1
t1+1+t-weekday+2,7:36:00,7:36:00,t2_0,2,,0,0,1
t1+1+t-weekday+2,7:37:00,7:37:00,t3_0,3,,0,0,1
t1+1+t-weekday+2,7:39:00,7:39:00,t4_0,4,,0,0,1
t1+1+t-weekday+2,7:41:00,7:41:00,t5_0,5,,0,0,1
t1+1+t-weekday+2,7:44:00,7:44:00,t6_0,6,,0,0,1
t1+1+t-weekday+2,7:45:00,7:45:00,t7_0,7,,1,0,1
t1+1+t-weekday+3,8:10:00,8:10:00,t1_0,1,,0,1,1
t1+1+t-weekday+3,8:11:00,8:11:00,t2_0,2,,0,0,1
t1+1+t-weekday+3,8:12:00,8:12:00,t3_0,3,,0,0,1
t1+1+t-weekday+3,8:14:00,8:14:00,t4_0,4,,0,0,1
t1+1+t-weekday+3,8:16:00,8:16:00,t5_0,5,,0,0,1
t1+1+t-weekday+3,8:19:00,8:19:00,t6_0,6,,0,0,1
t1+1+t-weekday+3,8:20:00,8:20:00,t7_0,7,,1,0,1
t1+1+t-weekday+4,9:00:00,9:00:00,t1_0,1,,0,1,1
t1+1+t-weekday+4,9:01:00,9:01:00,t2_0,2,,0,0,1
t1+1+t-weekday+4,9:02:00,9:02:00,t3_0,3,,0,0,1
t1+1+t-weekday+4,9:04:00,9:04:00,t4_0,4,,0,0,1
t1+1+t-weekday+4,9:06:00,9:06:00,t5_0,5,,0,0,1
t1+1+t-weekday+4,9:09:00,9:09:00,t6_0,6,,0,0,1
t1+1+t-weekday+4,9:10:00,9:10:00,t7_0,7,,1,0,1
t1+1+t-weekday+5,9:30:00,9:30:00,t1_0,1,,0,1,1
t1+1+t-weekday+5,9:31:00,9:31:00,t2_0,2,,0,0,1
t1+1+t-weekday+5,9:32:00,9:32:00,t3_0,3,,0,0,1
t1+1+t-weekday+5,9:34:00,9:34:00,t4_0,4,,0,0,1
t1+1+t-weekday+5,9:36:00,9:36:00,t5_0,5,,0,0,1
t1+1+t-weekday+5,9:39:00,9:39:00,t6_0,6,,0,0,1
t1+1+t-weekday+5,9:40:00,9:40:00,t7_0,7,,1,0,1
t1+1+t-weekday+6,10:30:00,10:30:00,t1_0,1,,0,1,1
t1+1+t-weekday+6,10:31:00,10:31:00,t2_0,2,,0,0,1
t1+1+t-weekday+6,10:32:00,10:32:00,t3_0,3,,0,0,1
t1+1+t-weekday+6,10:34:00,10:34:00,t4_0,4,,0,0,1
t1+1+t-weekday+6,10:36:00,10:36:00,t5_0,5,,0,0,1
t1+1+t-weekday+6,10:39:00,10:39:00,t6_0,6,,0,0,1
t1+1+t-weekday+6,10:40:00,10:40:00,t7_0,7,,1,0,1
t1+1+t-weekday+7,11:30:00,11:30:00,t1_0,1,,0,1,1
t1+1+t-weekday+7,11:31:00,11:31:00,t2_0,2,,0,0,1
t1+1+t-weekday+7,11:32:00,11:32:00,t3_0,3,,0,0,1
t1+1+t-weekday+7,11:34:00,11:34:00,t4_0,4,,0,0,1
t1+1+t-weekday+7,11:36:00,11:36:00,t5_0,5,,0,0,1
t1+1+t-weekday+7,11:39:00,11:39:00,t6_0,6,,0,0,1
t1+1+t-weekday+7,11:40:00,11:40:00,t7_0,7,,1,0,1
t1+1+t-weekday+8,12:30:00,12:30:00,t1_0,1,,0,1,1
t1+1+t-weekday+8,12:31:00,12:31:00,t2_0,2,,0,0,1
t1+1+t-weekday+8,12:32:00,12:32:00,t3_0,3,,0,0,1
t1+1+t-weekday+8,12:34:00,12:34:00,t4_0,4,,0,0,1
t1+1+t-weekday+8,12:36:00,12:36:00,t5_0,5,,0,0,1
t1+1+t-weekday+8,12:39:00,12:39:00,t6_0,6,,0,0,1
t1+1+t-weekday+8,12:40:00,12:40:00,t7_0,7,,1,0,1
t1+1+t-weekday+9,13:25:00,13:25:00,t1_0,1,,0,1,1
t1+1+t-weekday+9,13:26:00,13:26:00,t2_0,2,,0,0,1
t1+1+t-weekday+9,13:27:00,13:27:00,t3_0,3,,0,0,1
t1+1+t-weekday+9,13:29:00,13:29:00,t4_0,4,,0,0,1
t1+1+t-weekday+9,13:31:00,13:31:00,t5_0,5,,0,0,1
t1+1+t-weekday+9,13:34:00,13:34:00,t6_0,6,,0,0,1
