route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
t1,t-weekday,t1+1+t-weekday+1,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+2,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+3,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+4,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+5,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+6,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+7,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+8,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+9,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+10,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+11,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+12,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+13,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+14,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+15,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+1+t-weekday+16,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+17,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+18,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+19,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+20,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+21,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+22,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+23,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+24,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+25,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+26,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+27,和田島車庫行き,1,SHP0001
t1,t-sat,t1+1+t-sat+28,和田島車庫行き,1,SHP0001
t1,t-weekday,t1+0+t-weekday+1,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+2,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+3,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+4,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+5,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+6,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+7,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+8,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+9,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+10,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+11,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+12,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+13,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+14,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+15,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+16,但沼車庫行き,0,SHP0002
t1,t-weekday,t1+0+t-weekday+17,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+18,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+19,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+20,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+21,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+22,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+23,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+24,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+25,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+26,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+27,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+28,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+29,但沼車庫行き,0,SHP0002
t1,t-sat,t1+0+t-sat+30,但沼車庫行き,0,SHP0002
o1,t-weekday,o1+1+t-weekday+1,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+2,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+3,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+4,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+5,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+6,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+7,大平行き,1,SHP0003
o1,t-weekday,o1+1+t-weekday+8,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+9,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+10,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+11,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+12,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+13,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+14,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+15,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+16,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+17,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+18,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+19,大平行き,1,SHP0003
o1,t-sat,o1+1+t-sat+20,大平行き,1,SHP0003
o1,t-weekday,o1+0+t-weekday+1,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+2,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+3,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+4,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+5,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+6,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+7,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+8,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+9,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+10,和田島車庫行き,0,SHP0004
o1,t-weekday,o1+0+t-weekday+11,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+12,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+13,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+14,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+15,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+16,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+17,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+18,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+19,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+20,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+21,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+22,和田島車庫行き,0,SHP0004
o1,t-sat,o1+0+t-sat+23,和田島車庫行き,0,SHP0004
z1,t-weekday,z1+1+t-weekday+1,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+2,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+3,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+4,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+5,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+6,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+7,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+8,板井沢行き,1,SHP0005
z1,t-weekday,z1+1+t-weekday+9,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+10,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+11,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+12,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+13,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+14,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+15,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+16,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+17,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+18,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+19,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+20,板井沢行き,1,SHP0005
z1,t-sat,z1+1+t-sat+21,板井沢行き,1,SHP0005
z1,t-weekday,z1+0+t-weekday+1,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+2,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+3,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+4,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+5,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+6,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+7,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+8,和田島車庫行き,0,SHP0006
z1,t-weekday,z1+0+t-weekday+9,和田島車庫行き,0,SHP0006
