service_id,date,exception_type
b-weekday,20260429,2
b-weekday,20260503,2
b-weekday,20260504,2
b-weekday,20260505,2
b-weekday,20260506,2
b-weekday,20260720,2
b-weekday,20260811,2
b-weekday,20260921,2
b-weekday,20260922,2
b-weekday,20260923,2
b-weekday,20261012,2
b-weekday,20261103,2
b-weekday,20261123,2
b-weekday,20261229,2
b-weekday,20261230,2
b-weekday,20261231,2
b-weekday,20270101,2
b-weekday,20270102,2
b-weekday,20270103,2
b-weekday,20270111,2
b-weekday,20270211,2
b-weekday,20270223,2
b-weekday,20270321,2
b-weekday,20270322,2
b-weekday,20270429,2
b-weekday,20270503,2
b-weekday,20270504,2
b-weekday,20270505,2
b-weekend,20260429,1
b-weekend,20260503,1
b-weekend,20260504,1
b-weekend,20260505,1
b-weekend,20260506,1
b-weekend,20260720,1
b-weekend,20260811,1
b-weekend,20260921,1
b-weekend,20260922,1
b-weekend,20260923,1
b-weekend,20261012,1
b-weekend,20261103,1
b-weekend,20261123,1
b-weekend,20261229,1
b-weekend,20261230,2
b-weekend,20261231,2
b-weekend,20270101,2
b-weekend,20270102,2
b-weekend,20270103,2
b-weekend,20270111,2
b-weekend,20270211,1
b-weekend,20270223,1
b-weekend,20270321,1
b-weekend,20270322,1
b-weekend,20270429,1
b-weekend,20270503,1
b-weekend,20270504,1
b-weekend,20270505,1
