trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
b1+1+b-weekday+1,8:05:00,8:05:00,b1_0,1,,0,1,1
b1+1+b-weekday+1,8:06:00,8:06:00,b2_0,2,,0,0,1
b1+1+b-weekday+1,8:06:00,8:06:00,b3_0,3,,0,0,1
b1+1+b-weekday+1,8:07:00,8:07:00,b4_0,4,,0,0,1
b1+1+b-weekday+1,8:07:00,8:07:00,b5_0,5,,0,0,1
b1+1+b-weekday+1,8:08:00,8:08:00,b6_0,6,,0,0,1
b1+1+b-weekday+1,8:09:00,8:09:00,b7_0,7,,0,0,1
b1+1+b-weekday+1,8:10:00,8:10:00,b8_0,8,,0,0,1
b1+1+b-weekday+1,8:10:00,8:10:00,b9_0,9,,0,0,1
b1+1+b-weekday+1,8:11:00,8:11:00,b10_1,10,,0,0,1
b1+1+b-weekday+1,8:12:00,8:12:00,b11_1,11,,0,0,1
b1+1+b-weekday+1,8:14:00,8:14:00,b12_0,12,,0,0,1
b1+1+b-weekday+1,8:15:00,8:15:00,b13_1,13,,0,0,1
b1+1+b-weekday+1,8:15:00,8:15:00,b14_1,14,,0,0,1
b1+1+b-weekday+1,8:16:00,8:16:00,b15_1,15,,0,0,1
b1+1+b-weekday+1,8:17:00,8:17:00,b16_1,16,,0,0,1
b1+1+b-weekday+1,8:18:00,8:18:00,b17_1,17,,0,0,1
b1+1+b-weekday+1,8:18:00,8:18:00,b18_1,18,,0,0,1
b1+1+b-weekday+1,8:19:00,8:19:00,b19_1,19,,0,0,1
b1+1+b-weekday+1,8:20:00,8:20:00,b20_1,20,,0,0,1
b1+1+b-weekday+1,8:23:00,8:23:00,b21_0,21,,1,0,1
b1+1+b-weekday+2,9:15:00,9:15:00,b1_0,1,,0,1,1
b1+1+b-weekday+2,9:16:00,9:16:00,b2_0,2,,0,0,1
b1+1+b-weekday+2,9:16:00,9:16:00,b3_0,3,,0,0,1
b1+1+b-weekday+2,9:17:00,9:17:00,b4_0,4,,0,0,1
b1+1+b-weekday+2,9:17:00,9:17:00,b5_0,5,,0,0,1
b1+1+b-weekday+2,9:18:00,9:18:00,b6_0,6,,0,0,1
b1+1+b-weekday+2,9:19:00,9:19:00,b7_0,7,,0,0,1
b1+1+b-weekday+2,9:20:00,9:20:00,b8_0,8,,0,0,1
b1+1+b-weekday+2,9:20:00,9:20:00,b9_0,9,,0,0,1
b1+1+b-weekday+2,9:21:00,9:21:00,b10_1,10,,0,0,1
b1+1+b-weekday+2,9:22:00,9:22:00,b11_1,11,,0,0,1
b1+1+b-weekday+2,9:24:00,9:24:00,b12_0,12,,0,0,1
b1+1+b-weekday+2,9:25:00,9:25:00,b13_1,13,,0,0,1
b1+1+b-weekday+2,9:25:00,9:25:00,b14_1,14,,0,0,1
b1+1+b-weekday+2,9:26:00,9:26:00,b15_1,15,,0,0,1
b1+1+b-weekday+2,9:27:00,9:27:00,b16_1,16,,0,0,1
b1+1+b-weekday+2,9:28:00,9:28:00,b17_1,17,,0,0,1
b1+1+b-weekday+2,9:28:00,9:28:00,b18_1,18,,0,0,1
b1+1+b-weekday+2,9:29:00,9:29:00,b19_1,19,,0,0,1
b1+1+b-weekday+2,9:30:00,9:30:00,b20_1,20,,0,0,1
b1+1+b-weekday+2,9:33:00,9:33:00,b21_0,21,,1,0,1
b1+1+b-weekday+3,10:15:00,10:15:00,b1_0,1,,0,1,1
b1+1+b-weekday+3,10:16:00,10:16:00,b2_0,2,,0,0,1
b1+1+b-weekday+3,10:16:00,10:16:00,b3_0,3,,0,0,1
b1+1+b-weekday+3,10:17:00,10:17:00,b4_0,4,,0,0,1
b1+1+b-weekday+3,10:17:00,10:17:00,b5_0,5,,0,0,1
b1+1+b-weekday+3,10:18:00,10:18:00,b6_0,6,,0,0,1
b1+1+b-weekday+3,10:19:00,10:19:00,b7_0,7,,0,0,1
b1+1+b-weekday+3,10:20:00,10:20:00,b8_0,8,,0,0,1
b1+1+b-weekday+3,10:20:00,10:20:00,b9_0,9,,0,0,1
b1+1+b-weekday+3,10:21:00,10:21:00,b10_1,10,,0,0,1
b1+1+b-weekday+3,10:22:00,10:22:00,b11_1,11,,0,0,1
b1+1+b-weekday+3,10:24:00,10:24:00,b12_0,12,,0,0,1
b1+1+b-weekday+3,10:25:00,10:25:00,b13_1,13,,0,0,1
b1+1+b-weekday+3,10:25:00,10:25:00,b14_1,14,,0,0,1
b1+1+b-weekday+3,10:26:00,10:26:00,b15_1,15,,0,0,1
b1+1+b-weekday+3,10:27:00,10:27:00,b16_1,16,,0,0,1
b1+1+b-weekday+3,10:28:00,10:28:00,b17_1,17,,0,0,1
b1+1+b-weekday+3,10:28:00,10:28:00,b18_1,18,,0,0,1
b1+1+b-weekday+3,10:29:00,10:29:00,b19_1,19,,0,0,1
