stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
b1_0,由比駅,,35.09731,138.55273,b1_0,0
b2_0,今宿,,35.10005,138.55457,b2_0,0
b3_0,中央ガレージ前,,35.10224,138.55609,b3_0,0
b4_0,由比むつみ市場前,,35.103773,138.559163,b4_0,0
b5_0,JAしみず由比支店前,,35.104717,138.561523,b5_0,0
b6_0,由比川橋西,,35.10585,138.56411,b6_0,0
b7_0,由比本陣公園前,,35.10743,138.56727,b7_0,0
b8_0,由比自治会前,,35.10959,138.57099,b8_0,0
b9_0,神沢川酒造場前,,35.11095,138.57297,b9_0,0
b10_1,西神沢,,35.11265,138.57564,b10_1,0
b10_2,西神沢,,35.11147,138.57324,b10_2,0
b11_1,神沢,,35.11373,138.57845,b11_1,0
b11_2,神沢,,35.11345,138.5779,b11_2,0
b12_0,蒲原駅,,35.11435,138.583,b12_0,0
b13_1,中村,,35.11529,138.58685,b13_1,0
b13_2,中村,,35.11534,138.58762,b13_2,0
b14_1,小金,,35.11599,138.59105,b14_1,0
b14_2,小金,,35.11601,138.59147,b14_2,0
b15_1,蒲原体育館前,,35.11664,138.59491,b15_1,0
b15_2,蒲原体育館前,,35.11663,138.59533,b15_2,0
b16_1,砂防事務所入口,,35.11752,138.59984,b16_1,0
b16_2,砂防事務所入口,,35.11753,138.60053,b16_2,0
b17_1,蒲原本町,,35.11886,138.60453,b17_1,0
b17_2,蒲原本町,,35.11866,138.604,b17_2,0
b18_1,新蒲原駅,,35.11957,138.6073,b18_1,0
b18_2,新蒲原駅,,35.11971,138.608,b18_2,0
b19_1,軽金入口,,35.1225,138.61202,b19_1,0
b19_2,軽金入口,,35.12251,138.6122,b19_2,0
b20_1,富士見橋,,35.1259,138.61685,b20_1,0
b20_2,富士見橋,,35.12585,138.61695,b20_2,0
b21_0,蒲原病院,,35.13304,138.61609,b21_0,0
b22_0,新町,,35.11095,138.57106,b22_0,0
b23_0,入山入口東,,35.10971,138.56817,b23_0,0
b24_0,入山入口,,35.10839,138.56498,b24_0,0
b25_0,由比川橋,,35.10777,138.56345,b25_0,0
b26_0,由比北田,,35.10668,138.56071,b26_0,0
b27_0,町屋原,,35.10579,138.55811,b27_0,0
b28_0,西山入口,,35.10435,138.55658,b28_0,0
b29_0,今宿東,,35.10303,138.55519,b29_0,0
b30_0,今宿上,,35.10128,138.55439,b30_0,0
b31_0,平,,35.0994,138.55373,b31_0,0
b32_0,由比駅上,,35.09751,138.55234,b32_0,0
