service_id,date,exception_type
y-monwedfri,20260429,2
y-monwedfri,20260503,2
y-monwedfri,20260504,2
y-monwedfri,20260505,2
y-monwedfri,20260506,2
y-monwedfri,20260720,2
y-monwedfri,20260811,2
y-monwedfri,20260921,2
y-monwedfri,20260922,2
y-monwedfri,20260923,2
y-monwedfri,20261012,2
y-monwedfri,20261103,2
y-monwedfri,20261123,2
y-monwedfri,20261229,2
y-monwedfri,20261230,2
y-monwedfri,20261231,2
y-monwedfri,20270101,2
y-monwedfri,20270102,2
y-monwedfri,20270103,2
y-monwedfri,20270111,2
y-monwedfri,20270211,2
y-monwedfri,20270223,2
y-monwedfri,20270321,2
y-monwedfri,20270322,2
y-monwedfri,20270429,2
y-monwedfri,20270503,2
y-monwedfri,20270504,2
y-monwedfri,20270505,2
y-tuethu,20260429,2
y-tuethu,20260503,2
y-tuethu,20260504,2
y-tuethu,20260505,2
y-tuethu,20260506,2
y-tuethu,20260720,2
y-tuethu,20260811,2
y-tuethu,20260921,2
y-tuethu,20260922,2
y-tuethu,20260923,2
y-tuethu,20261012,2
y-tuethu,20261103,2
y-tuethu,20261123,2
y-tuethu,20261229,2
y-tuethu,20261230,2
y-tuethu,20261231,2
y-tuethu,20270101,2
y-tuethu,20270102,2
y-tuethu,20270103,2
y-tuethu,20270111,2
y-tuethu,20270211,2
y-tuethu,20270223,2
y-tuethu,20270321,2
y-tuethu,20270322,2
y-tuethu,20270429,2
y-tuethu,20270503,2
y-tuethu,20270504,2
y-tuethu,20270505,2
