trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
y8++y-tuethu+1,17:33:00,17:33:00,y1_0,1,,0,1,1
y8++y-tuethu+1,17:35:00,17:35:00,y2_0,2,,0,0,1
y8++y-tuethu+1,17:35:00,17:35:00,y3_0,3,,0,0,1
y8++y-tuethu+1,17:36:00,17:36:00,y4_0,4,,0,0,1
y8++y-tuethu+1,17:37:00,17:37:00,y6_0,5,,0,0,1
y8++y-tuethu+1,17:39:00,17:39:00,y7_0,6,,0,0,1
y8++y-tuethu+1,17:41:00,17:41:00,y8_0,7,,0,0,1
y8++y-tuethu+1,17:42:00,17:42:00,y9_0,8,,0,0,1
y8++y-tuethu+1,17:43:00,17:43:00,y10_0,9,,0,0,1
y8++y-tuethu+1,17:43:00,17:43:00,y11_0,10,,0,0,1
y8++y-tuethu+1,17:44:00,17:49:00,y12_0,11,,0,0,1
y8++y-tuethu+1,17:50:00,17:50:00,y11_0,13,,0,0,1
y8++y-tuethu+1,17:50:00,17:50:00,y10_0,14,,0,0,1
y8++y-tuethu+1,17:51:00,17:51:00,y9_0,15,,0,0,1
y8++y-tuethu+1,17:52:00,17:52:00,y8_0,16,,0,0,1
y8++y-tuethu+1,17:54:00,17:54:00,y7_0,17,,0,0,1
y8++y-tuethu+1,17:56:00,17:56:00,y33_0,18,,0,0,1
y8++y-tuethu+1,17:58:00,17:58:00,y42_0,19,,0,0,1
y8++y-tuethu+1,17:59:00,17:59:00,y43_0,20,,0,0,1
y8++y-tuethu+1,18:00:00,18:00:00,y44_0,21,,0,0,1
y8++y-tuethu+1,18:02:00,18:02:00,y45_0,22,,0,0,1
y8++y-tuethu+1,18:04:00,18:04:00,y46_0,23,,0,0,1
y8++y-tuethu+1,18:05:00,18:05:00,y47_0,24,,0,0,1
y8++y-tuethu+1,18:06:00,18:06:00,y48_0,25,,0,0,1
y8++y-tuethu+1,18:07:00,18:07:00,y33_0,26,,0,0,1
y8++y-tuethu+1,18:08:00,18:08:00,y7_0,27,,0,0,1
y8++y-tuethu+1,18:10:00,18:10:00,y8_0,28,,0,0,1
y8++y-tuethu+1,18:11:00,18:11:00,y9_0,29,,0,0,1
y8++y-tuethu+1,18:12:00,18:12:00,y10_0,30,,0,0,1
y8++y-tuethu+1,18:12:00,18:12:00,y11_0,31,,0,0,1
y8++y-tuethu+1,18:13:00,18:18:00,y12_0,32,,0,0,1
y8++y-tuethu+1,18:19:00,18:19:00,y11_0,34,,0,0,1
y8++y-tuethu+1,18:19:00,18:19:00,y10_0,35,,0,0,1
y8++y-tuethu+1,18:20:00,18:20:00,y9_0,36,,0,0,1
y8++y-tuethu+1,18:21:00,18:21:00,y8_0,37,,0,0,1
y8++y-tuethu+1,18:23:00,18:23:00,y7_0,38,,0,0,1
