stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
y1_0,庵原分署,,35.1108848449938,138.570674660461,y1_0,0
y2_0,神沢川酒造場前,,35.11095,138.57297,y2_0,0
y3_0,由比自治会前,,35.10959,138.57099,y3_0,0
y4_0,由比本陣公園前,,35.10743,138.56727,y4_0,0
y5_0,滝冷蔵庫前,,35.1084544368361,138.565779336992,y5_0,0
y6_0,由比川橋西,,35.10585,138.56411,y6_0,0
y7_0,由比生涯学習交流館,,35.1068659809686,138.562168594189,y7_0,0
y8_0,ＪＡしみず由比支店前,,35.1053557143463,138.561404827799,y8_0,0
y9_0,由比むつみ市場前,,35.1037846532658,138.559182854754,y9_0,0
y10_0,中央ガレージ前,,35.10224,138.55609,y10_0,0
y11_0,今宿,,35.10005,138.55457,y11_0,0
y12_0,由比駅,,35.09731,138.55273,y12_0,0
y13_0,慈徳寺入口,,35.110094955059,138.568799850377,y13_0,0
y14_0,本光寺駐車場前,,35.1108673736102,138.566300034254,y14_0,0
y15_0,桜新道,,35.1124730016199,138.562619731628,y15_0,0
y16_0,牛沢橋,,35.1164481844984,138.560085074604,y16_0,0
y17_0,東山寺自治会館前,,35.1177327401483,138.559217044295,y17_0,0
y18_0,福島自動車上,,35.1192082038178,138.556682482241,y18_0,0
y19_0,室野会館,,35.1239385555566,138.555918478788,y19_0,0
y20_0,幸橋,,35.1278443854274,138.556647434812,y20_0,0
y21_0,第３分団車庫,,35.1304569462331,138.556925089587,y21_0,0
y22_0,入山橋,,35.1347446874041,138.55803594289,y22_0,0
y23_0,福沢橋,,35.1440492882844,138.56157695349,y23_0,0
y24_0,大城,,35.1527896468489,138.562409883128,y24_0,0
y25_0,香木穴橋,,35.148163750702,138.574874273344,y25_0,0
y26_0,舟場入口,,35.1398570724385,138.562410375188,y26_0,0
y27_0,第３プール前,,35.0940546189978,138.550433970283,y27_0,0
y28_0,小池邸明かりの博物館前,,35.0915722135216,138.548663382144,y28_0,0
y29_0,寺尾西,,35.089263437026,138.548350996365,y29_0,0
y30_0,権現橋,,35.0846111452309,138.546927683082,y30_0,0
y31_0,倉沢自治会公会堂,,35.0831095741843,138.546788862969,y31_0,0
y32_0,倉沢漁業事務所,,35.0814604484807,138.546580609923,y32_0,0
y33_0,商工会前,,35.1078467370739,138.560745067254,y33_0,0
y34_0,潘医院前,,35.1117177988557,138.55952974612,y34_0,0
y35_0,三鋼仮設資材置場裏,,35.1141741290575,138.559876845427,y35_0,0
y36_0,東内,,35.1192776858806,138.558453161872,y36_0,0
y37_0,大門,,35.1227755559089,138.558418309706,y37_0,0
y38_0,山内朝日堂,,35.1311512707905,138.555293257986,y38_0,0
y39_0,銚子口の滝入口,,35.1306216961467,138.550606178063,y39_0,0
y40_0,桜野会館,,35.1434326407018,138.546092187337,y40_0,0
y41_0,槍野会館,,35.1322967464807,138.546370364745,y41_0,0
y42_0,阿僧分譲地内公園前,,35.1117958776824,138.558071534213,y42_0,0
y43_0,浜石の郷入口,,35.1137574103504,138.556023023348,y43_0,0
y44_0,白井沢生産組合,,35.1141912941061,138.552308046018,y44_0,0
y45_0,西山寺,,35.1085755832455,138.551440277747,y45_0,0
y46_0,西山寺自治会館前,,35.107377847416,138.553245724764,y46_0,0
y47_0,原藤商店倉庫前,,35.1061540870856,138.555606680943,y47_0,0
y48_0,町屋原団地前,,35.1075602539298,138.558523045447,y48_0,0
